项目,分类,分类2,年份函数,日期,月份函数,账户,金额
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年8月15日,2026年08月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥50.00
鞋架,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月14日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥30.00
吃饭打车,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年8月16日,2026年08月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥120.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年8月16日,2026年08月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥10.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年8月17日,2026年08月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥22.00
水果,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年8月17日,2026年08月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥10.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年8月18日,2026年08月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥5.00
七夕,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年8月18日,2026年08月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥248.00
回家车票,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年8月19日,2026年08月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥50.00
水果,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年8月19日,2026年08月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥10.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年8月19日,2026年08月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥33.00
